State,County Name,Grocery 2009,Convenience 2009,Fast Food Restaurants 2009,Adult Diabetes % 2009,Adult Obsesity % 2009,Median Household Income 2009,Limited Access Population% 2009,Limited Access Population 2009,Population 2009,Grocery 2014,Convenience 2014,Fast Food Restaurants 2014,Adult Diabetes 2014,Adult Obesity 2014,Median Household Income 2014,Limited Access % 2014,Limited Access 2014,Population 2014,FF per capita 2009,FF per capita 2014,% change FF Per Capita,Grocery per capita 2009,Grocery per capita 2014,% change in grocery per capita,% change in Access,% Change in Obesity,% change in income
TN,Crockett,5,12,4,13.3,34,37945,1%,110,"14,586",5,11,6,13.8,33,38474,1%,109,"14,614",0.000274236,0.000410565,50%,0.000342794,0.000342138,0%,0%,-3%,1%
TX,Crockett,5,12,4,13.3,34,37945,1%,110,"14,586",5,11,6,13.8,33,38474,1%,109,"14,614",0.000274236,0.000410565,50%,0.000342794,0.000342138,0%,0%,-3%,1%
AR,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
FL,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
GA,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
NY,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
OR,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
PA,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
WA,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
WI,Columbia,4,17,15,13.1,31.9,34538,18%,4406,"24,552",3,16,22,12.9,36.4,38057,17%,4237,"24,078",0.000610948,0.000913697,50%,0.00016292,0.000124595,-24%,-6%,14%,10%
MS,Tate,3,20,13,13.4,35.4,41465,34%,9749,"28,886",2,14,19,16.7,37.4,43376,28%,8192,"28,255",0.000450045,0.000672447,49%,0.000103857,7.07839E-05,-32%,-18%,6%,5%
MD,Garrett,5,18,17,12,30.3,43637,4%,1294,"30,097",6,18,25,12.2,30.6,46469,3%,981,"29,658",0.00056484,0.000842943,49%,0.00016613,0.000202306,22%,-25%,1%,6%
TX,Waller,5,24,13,9.9,31.7,46313,14%,6139,"43,205",4,23,21,12,33.6,50746,15%,6493,"46,784",0.000300891,0.000448871,49%,0.000115727,8.54993E-05,-26%,7%,6%,10%
IL,Wabash,2,5,7,9.3,28.7,42129,8%,1007,"11,947",2,5,10,12.6,32.2,51224,9%,1023,"11,541",0.000585921,0.000866476,48%,0.000167406,0.000173295,4%,13%,12%,22%
IN,Wabash,2,5,7,9.3,28.7,42129,8%,1007,"11,947",2,5,10,12.6,32.2,51224,9%,1023,"11,541",0.000585921,0.000866476,48%,0.000167406,0.000173295,4%,13%,12%,22%
GA,Turner,2,17,6,13.8,34.1,26845,8%,724,"8,930",1,12,8,14.3,34.6,35117,6%,528,"8,061",0.000671892,0.000992433,48%,0.000223964,0.000124054,-45%,-25%,1%,31%
SD,Turner,2,17,6,13.8,34.1,26845,8%,724,"8,930",1,12,8,14.3,34.6,35117,6%,528,"8,061",0.000671892,0.000992433,48%,0.000223964,0.000124054,-45%,-25%,1%,31%
VA,Nottoway,4,17,9,11.8,32.4,36975,50%,7976,"15,853",4,16,13,14,34,39544,56%,8927,"15,519",0.000567716,0.000837683,48%,0.000252318,0.000257749,2%,12%,5%,7%
MT,Stillwater,3,6,2,7.7,27,51830,16%,1446,"9,117",4,5,3,7.8,21.8,60052,16%,1458,"9,298",0.00021937,0.00032265,47%,0.000329056,0.0004302,31%,0%,-19%,16%
MI,Gratiot,9,23,16,9.7,37.7,40227,7%,2836,"42,476",7,27,23,9.9,33.6,42800,28%,11838,"41,607",0.000376683,0.000552792,47%,0.000211884,0.000168241,-21%,300%,-11%,6%
AL,Conecuh,3,16,5,16.7,33,27855,28%,3726,"13,228",2,14,7,17.4,36.4,29981,27%,3558,"12,621",0.000377986,0.000554631,47%,0.000226792,0.000158466,-30%,-4%,10%,8%
SD,Spink,2,4,2,8.9,35.8,44272,44%,2797,"6,415",2,3,3,9.9,31.4,46504,44%,2797,"6,567",0.000311769,0.00045683,47%,0.000311769,0.000304553,-2%,0%,-12%,5%
GA,Brooks,3,12,5,14.1,30.9,32067,8%,1355,"16,243",3,12,7,14.5,33.5,36820,8%,1355,"15,534",0.000307825,0.000450624,46%,0.000184695,0.000193125,5%,0%,8%,15%
TX,Brooks,3,12,5,14.1,30.9,32067,8%,1355,"16,243",3,12,7,14.5,33.5,36820,8%,1355,"15,534",0.000307825,0.000450624,46%,0.000184695,0.000193125,5%,0%,8%,15%
AL,Hale,4,13,5,15,43.5,31790,1%,87,"15,760",3,15,7,16,40.4,35470,12%,1865,"15,081",0.000317259,0.00046416,46%,0.000253807,0.000198926,-22%,1100%,-7%,12%
TX,Hale,4,13,5,15,43.5,31790,1%,87,"15,760",3,15,7,16,40.4,35470,12%,1865,"15,081",0.000317259,0.00046416,46%,0.000253807,0.000198926,-22%,1100%,-7%,12%
WV,Ritchie,4,9,5,13.2,34.1,35170,4%,395,"10,449",4,5,7,15.2,35.7,39501,12%,1202,"10,000",0.000478515,0.0007,46%,0.000382812,0.0004,4%,200%,5%,12%
TX,Upton,1,6,4,10,29,47407,33%,1121,"3,355",1,4,6,9.6,26.9,57085,33%,1121,"3,453",0.00119225,0.001737619,46%,0.000298063,0.000289603,-3%,0%,-7%,20%
MN,Wadena,5,10,9,10.1,30.7,36412,47%,6490,"13,843",4,9,13,10,29.2,45597,25%,3420,"13,729",0.000650148,0.000946901,46%,0.000361193,0.000291354,-19%,-47%,-5%,25%
ND,Stutsman,3,12,13,9.2,30,46466,33%,6954,"21,100",3,9,19,8.8,33,54925,33%,6953,"21,190",0.000616114,0.000896649,46%,0.00014218,0.000141576,0%,0%,10%,18%
CT,Litchfield,39,68,68,7.2,20.2,66076,16%,30056,"189,927",40,68,96,6.7,23.9,70847,18%,34657,"185,110",0.000358032,0.000518611,45%,0.000205342,0.000216088,5%,13%,18%,7%
MS,Tippah,6,13,7,12.7,35,33223,7%,1471,"22,232",5,13,10,12.8,33.9,38297,11%,2491,"22,027",0.000314861,0.000453988,44%,0.000269881,0.000226994,-16%,57%,-3%,15%
GA,Grady,3,17,11,12.6,33,31297,11%,2634,"25,011",5,19,16,12.1,33,36486,11%,2708,"25,265",0.000439806,0.000633287,44%,0.000119947,0.000197902,65%,0%,0%,17%
OK,Grady,3,17,11,12.6,33,31297,11%,2634,"25,011",5,19,16,12.1,33,36486,11%,2708,"25,265",0.000439806,0.000633287,44%,0.000119947,0.000197902,65%,0%,0%,17%
MI,Baraga,3,6,5,11.8,32.2,38819,15%,1320,"8,860",4,6,7,11,32.5,42389,16%,1452,"8,623",0.000564334,0.000811782,44%,0.0003386,0.000463876,37%,7%,1%,9%
LA,Sabine,6,14,7,14.6,36.1,36604,26%,6385,"24,233",5,16,10,14.8,39.1,42196,26%,6349,"24,073",0.000288862,0.000415403,44%,0.000247596,0.000207702,-16%,0%,8%,15%
TX,Sabine,6,14,7,14.6,36.1,36604,26%,6385,"24,233",5,16,10,14.8,39.1,42196,26%,6349,"24,073",0.000288862,0.000415403,44%,0.000247596,0.000207702,-16%,0%,8%,15%
MA,Dukes,12,10,16,9.4,18.8,56320,17%,2790,"16,535",12,8,24,8,22,64456,7%,1177,"17,283",0.000967644,0.001388648,44%,0.000725733,0.000694324,-4%,-59%,17%,14%
UT,Wasatch,5,7,13,6.5,23.7,61593,5%,1167,"23,530",4,5,22,6.5,23,75112,5%,1108,"27,789",0.000552486,0.00079168,43%,0.000212495,0.000143942,-32%,0%,-3%,22%
OH,Vinton,1,9,5,10.8,31.3,34977,16%,2125,"13,435",0,8,7,17,33.6,41675,48%,6471,"13,186",0.000372162,0.000530866,43%,7.44325E-05,0,-100%,200%,7%,19%
GA,Spalding,14,47,38,11.6,31.8,38451,17%,10916,"64,073",11,41,54,12.9,32.4,41250,16%,10011,"63,860",0.000593074,0.0008456,43%,0.000218501,0.000172252,-21%,-6%,2%,7%
NY,Oswego,24,58,67,9.8,34.2,44371,8%,9743,"122,109",23,57,94,10.7,29.2,49391,11%,13037,"120,744",0.00054869,0.000778507,42%,0.000196546,0.000190486,-3%,38%,-15%,11%
MO,McDonald,4,18,5,9.1,32.1,33352,7%,1699,"23,083",7,13,7,10.3,28.1,37939,7%,1715,"22,796",0.00021661,0.000307071,42%,0.000173288,0.000307071,77%,0%,-12%,14%
