State,County Name,Grocery 2009,Convenience 2009,Fast Food Restaurants 2009,Adult Diabetes % 2009,Adult Obsesity % 2009,Median Household Income 2009,Limited Access Population% 2009,Limited Access Population 2009,Population 2009,Grocery 2014,Convenience 2014,Fast Food Restaurants 2014,Adult Diabetes 2014,Adult Obesity 2014,Median Household Income 2014,Limited Access % 2014,Limited Access 2014,Population 2014,FF per capita 2009,FF per capita 2014,% change FF Per Capita,Grocery per capita 2009,Grocery per capita 2014,% change in grocery per capita,% change in Access,% Change in Obesity,% change in income
TX,Kleberg,5,16,25,8.5,30,37418,30%,9600,"32,061",3,22,28,9.2,28,40066,31%,9787,"31,946",0.000779764,0.000876479,12%,0.000155953,9.39085E-05,-40%,3%,-7%,7%
NY,Chemung,11,47,56,10,26.6,46130,24%,21029,"88,830",15,40,62,9.4,29.1,51285,23%,20270,"87,506",0.000630418,0.000708523,12%,0.000123832,0.000171417,38%,-4%,9%,11%
NJ,Atlantic,84,78,185,9.8,28.2,51457,36%,99613,"274,549",87,80,208,11.3,27.6,53296,29%,80172,"274,715",0.000673832,0.000757148,12%,0.000305956,0.000316692,4%,-19%,-2%,4%
TX,Gillespie,4,11,13,11.4,27.3,47216,16%,4005,"24,837",3,13,15,13.3,26.8,54180,19%,4771,"25,545",0.000523413,0.000587199,12%,0.00016105,0.00011744,-27%,19%,-2%,15%
LA,Ascension,21,50,66,9.2,32,62069,40%,42579,"107,215",22,61,81,11,31.3,74852,31%,33735,"117,291",0.000615586,0.00069059,12%,0.000195868,0.000187568,-4%,-23%,-2%,21%
TX,Kaufman,8,51,58,9.3,36.2,56899,8%,8744,"103,350",12,51,70,9.2,27.2,60438,8%,8666,"111,192",0.0005612,0.000629542,12%,7.74069E-05,0.000107921,39%,0%,-25%,6%
LA,Terrebonne,19,72,72,12.8,39.2,47847,30%,33017,"111,860",18,64,82,11.7,39.5,44450,30%,33431,"113,645",0.000643662,0.000721545,12%,0.000169855,0.000158388,-7%,0%,1%,-7%
MO,Cole,11,38,54,9.2,28.1,52835,24%,17865,"75,990",11,36,61,10.1,30.7,56393,26%,19670,"76,583",0.00071062,0.000796521,12%,0.000144756,0.000143635,-1%,8%,9%,7%
TX,Somervell,3,10,7,10.1,28.8,49582,0%,0,"8,490",3,10,8,10.7,27.6,58040,0%,0,"8,657",0.000824499,0.000924108,12%,0.000353357,0.00034654,-2%,0%,-4%,17%
MN,Waseca,3,8,9,8.7,30.7,50149,30%,5687,"19,136",3,8,10,6.8,33.7,54495,30%,5704,"18,977",0.000470318,0.000526954,12%,0.000156773,0.000158086,1%,0%,10%,9%
KS,Ellis,4,18,28,7.7,31,42409,20%,5664,"28,452",5,15,32,8.9,31.6,49192,14%,4106,"29,027",0.000984114,0.001102422,12%,0.000140588,0.000172253,23%,-30%,2%,16%
OK,Ellis,4,18,28,7.7,31,42409,20%,5664,"28,452",5,15,32,8.9,31.6,49192,14%,4106,"29,027",0.000984114,0.001102422,12%,0.000140588,0.000172253,23%,-30%,2%,16%
TX,Ellis,4,18,28,7.7,31,42409,20%,5664,"28,452",5,15,32,8.9,31.6,49192,14%,4106,"29,027",0.000984114,0.001102422,12%,0.000140588,0.000172253,23%,-30%,2%,16%
AR,Garland,18,49,75,10.7,27.7,36690,32%,30262,"96,024",17,49,85,14.5,32.3,37723,28%,27118,"97,183",0.000781055,0.000874639,12%,0.000187453,0.000174928,-7%,-13%,17%,3%
ID,Latah,10,10,25,7.2,26.2,40942,16%,5786,"37,244",7,12,29,6.4,24.3,46360,12%,4402,"38,583",0.000671249,0.000751626,12%,0.0002685,0.000181427,-32%,-25%,-7%,13%
FL,Leon,41,117,220,8.9,28.2,42393,31%,85474,"275,487",41,123,254,8.3,26.4,46405,29%,79834,"284,053",0.000798586,0.000894199,12%,0.000148827,0.000144339,-3%,-6%,-6%,9%
TX,Leon,41,117,220,8.9,28.2,42393,31%,85474,"275,487",41,123,254,8.3,26.4,46405,29%,79834,"284,053",0.000798586,0.000894199,12%,0.000148827,0.000144339,-3%,-6%,-6%,9%
VA,Botetourt,5,27,17,10.6,28.8,63528,22%,7296,"33,148",5,22,19,11.1,25.6,62591,35%,11600,"33,128",0.000512851,0.000573533,12%,0.000150839,0.00015093,0%,59%,-11%,-1%
NY,Bronx,971,135,805,9.5,27.5,32674,1%,12462,"1,385,108",1255,167,934,12.3,30.4,35102,1%,7135,"1,437,687",0.000581182,0.000649655,12%,0.000701028,0.00087293,25%,0%,11%,7%
IN,Elkhart,36,62,121,9.4,28.6,42168,20%,38971,"197,559",36,63,138,10.2,32.8,50117,20%,40315,"201,609",0.000612475,0.000684493,12%,0.000182224,0.000178563,-2%,0%,15%,19%
TX,Pecos,5,17,7,9,29.6,39118,21%,3285,"15,507",4,12,8,9.8,28.6,45839,19%,2973,"15,862",0.000451409,0.00050435,12%,0.000322435,0.000252175,-22%,-10%,-3%,17%
MI,Macomb,150,322,526,10.2,31,49348,23%,195209,"840,978",134,307,602,9.9,33.3,54939,23%,190310,"861,804",0.000625462,0.000698535,12%,0.000178364,0.000155488,-13%,0%,7%,11%
TX,Cooke,6,31,16,11.2,33,45428,9%,3344,"38,437",5,36,18,10.3,29.2,54534,7%,2805,"38,739",0.000416266,0.000464648,12%,0.0001561,0.000129069,-17%,-22%,-12%,20%
NC,Avery,6,11,9,10.1,29.7,35568,0%,0,"17,797",4,14,10,11.1,26,37120,1%,116,"17,723",0.000505703,0.000564239,12%,0.000337135,0.000225695,-33%,1%,-12%,4%
ID,Bonneville,7,45,63,8.5,26.8,49979,24%,24727,"104,234",9,47,73,8.5,29.4,54008,23%,24101,"108,381",0.000604409,0.00067355,11%,6.71566E-05,8.30404E-05,24%,-4%,10%,8%
CO,Montrose,7,15,20,6,18.8,44002,20%,8138,"41,276",9,8,22,8.1,19.7,46860,21%,8466,"40,747",0.000484543,0.000539917,11%,0.00016959,0.000220875,30%,5%,5%,6%
WV,Greenbrier,6,33,26,12.1,28.8,35456,10%,3720,"35,480",6,28,29,13.6,34.2,38209,18%,6494,"35,516",0.000732807,0.000816533,11%,0.000169109,0.000168938,0%,80%,19%,8%
GA,Harris,7,19,7,11.8,27.5,62264,1%,209,"32,024",5,19,8,13.2,28.4,65887,1%,198,"32,853",0.000218586,0.000243509,11%,0.000218586,0.000152193,-30%,0%,3%,6%
TX,Harris,7,19,7,11.8,27.5,62264,1%,209,"32,024",5,19,8,13.2,28.4,65887,1%,198,"32,853",0.000218586,0.000243509,11%,0.000218586,0.000152193,-30%,0%,3%,6%
MA,Hampden,95,198,260,10.3,28.5,46356,26%,120696,"463,490",98,238,293,11.1,27.5,51415,22%,103309,"469,033",0.000560961,0.00062469,11%,0.000204967,0.000208941,2%,-15%,-4%,11%
TX,Parker,8,54,72,10.6,31.6,57092,18%,21113,"116,927",8,42,84,10.5,29,67545,18%,20535,"122,584",0.000615769,0.000685244,11%,6.84188E-05,6.52614E-05,-5%,0%,-8%,18%
NC,Gaston,30,117,144,9.7,26.4,40332,28%,58343,"206,086",32,104,164,13.7,33.3,45031,28%,58304,"210,921",0.000698737,0.000777542,11%,0.00014557,0.000151716,4%,0%,26%,12%
NM,Curry,3,25,29,8.7,27,36085,35%,16741,"48,376",4,22,34,7.9,30.5,41879,39%,18651,"50,969",0.000599471,0.000667072,11%,6.20142E-05,7.84791E-05,27%,11%,13%,16%
OR,Curry,3,25,29,8.7,27,36085,35%,16741,"48,376",4,22,34,7.9,30.5,41879,39%,18651,"50,969",0.000599471,0.000667072,11%,6.20142E-05,7.84791E-05,27%,11%,13%,16%
TX,Hockley,2,11,14,9.3,29.7,40334,36%,8197,"22,935",2,8,16,8.7,30.7,48768,46%,10500,"23,565",0.000610421,0.000678973,11%,8.7203E-05,8.48716E-05,-3%,28%,3%,21%
TX,Denton,51,207,391,8.3,29.9,68671,22%,143217,"662,614",66,242,494,8,22.1,75898,19%,123080,"752,820",0.000590087,0.000656199,11%,7.69679E-05,8.76704E-05,14%,-14%,-26%,11%
MI,Menominee,5,8,11,10.4,31.2,40253,6%,1346,"24,029",5,7,12,10.7,34.4,42591,41%,9806,"23,574",0.00045778,0.000509035,11%,0.000208082,0.000212098,2%,583%,10%,6%
WI,Menominee,5,8,11,10.4,31.2,40253,6%,1346,"24,029",5,7,12,10.7,34.4,42591,41%,9806,"23,574",0.00045778,0.000509035,11%,0.000208082,0.000212098,2%,583%,10%,6%
CT,Middlesex,34,49,96,7.2,23.3,70805,33%,55378,"165,676",34,57,106,8.4,24.1,82878,31%,52122,"164,555",0.000579444,0.000644162,11%,0.00020522,0.000206618,1%,-6%,3%,17%
MA,Middlesex,34,49,96,7.2,23.3,70805,33%,55378,"165,676",34,57,106,8.4,24.1,82878,31%,52122,"164,555",0.000579444,0.000644162,11%,0.00020522,0.000206618,1%,-6%,3%,17%
NJ,Middlesex,34,49,96,7.2,23.3,70805,33%,55378,"165,676",34,57,106,8.4,24.1,82878,31%,52122,"164,555",0.000579444,0.000644162,11%,0.00020522,0.000206618,1%,-6%,3%,17%
VA,Middlesex,34,49,96,7.2,23.3,70805,33%,55378,"165,676",34,57,106,8.4,24.1,82878,31%,52122,"164,555",0.000579444,0.000644162,11%,0.00020522,0.000206618,1%,-6%,3%,17%
MO,Phelps,8,27,29,9.2,31.3,39765,14%,6252,"45,156",8,24,32,11.4,27,40676,14%,6323,"44,833",0.000642218,0.00071376,11%,0.000177164,0.00017844,1%,0%,-14%,2%
NE,Phelps,8,27,29,9.2,31.3,39765,14%,6252,"45,156",8,24,32,11.4,27,40676,14%,6323,"44,833",0.000642218,0.00071376,11%,0.000177164,0.00017844,1%,0%,-14%,2%
GA,Clayton,40,152,165,11.4,35.1,36595,40%,102802,"259,424",54,159,189,11.6,38,41731,38%,99212,"267,576",0.000636024,0.000706341,11%,0.000154188,0.000201812,31%,-5%,8%,14%
IA,Clayton,40,152,165,11.4,35.1,36595,40%,102802,"259,424",54,159,189,11.6,38,41731,38%,99212,"267,576",0.000636024,0.000706341,11%,0.000154188,0.000201812,31%,-5%,8%,14%
AL,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
AR,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
FL,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
GA,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
IL,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
IA,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
MI,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
MS,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
SC,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
TX,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
WV,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,"118,572",27,74,103,14.9,32.2,42091,23%,27786,"115,837",0.000801201,0.00088918,11%,0.000210842,0.000233086,11%,-12%,-4%,11%
KS,Reno,12,28,52,10.9,33.1,41717,27%,17367,"64,511",11,25,57,11.9,35.7,47178,24%,15362,"63,737",0.000806064,0.0008943,11%,0.000186015,0.000172584,-7%,-11%,8%,13%
FL,Pasco,71,175,164,10.5,28.3,42184,22%,103438,"464,697",65,185,190,12.2,31.1,46080,24%,109782,"485,447",0.000352918,0.000391392,11%,0.000152788,0.000133897,-12%,9%,10%,9%
MI,Washtenaw,61,93,233,8.1,24.6,56177,26%,88437,"344,791",63,99,269,7.6,24.4,62401,23%,80355,"358,980",0.000675772,0.000749345,11%,0.000176919,0.000175497,-1%,-12%,-1%,11%
NY,Erie,234,327,691,10.3,28.6,46773,26%,238054,"919,040",303,358,770,9.4,26.7,52176,21%,192724,"923,702",0.000751872,0.000833602,11%,0.000254614,0.000328028,29%,-19%,-7%,12%
OH,Erie,234,327,691,10.3,28.6,46773,26%,238054,"919,040",303,358,770,9.4,26.7,52176,21%,192724,"923,702",0.000751872,0.000833602,11%,0.000254614,0.000328028,29%,-19%,-7%,12%
PA,Erie,234,327,691,10.3,28.6,46773,26%,238054,"919,040",303,358,770,9.4,26.7,52176,21%,192724,"923,702",0.000751872,0.000833602,11%,0.000254614,0.000328028,29%,-19%,-7%,12%
AL,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
AR,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
CO,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
FL,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
GA,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
ID,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
IL,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
IN,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
IA,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
KS,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
KY,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
LA,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
MS,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
MO,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
MT,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
NE,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
NY,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
OH,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
OK,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
OR,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
PA,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
TN,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
TX,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
WA,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
WV,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
WI,Jefferson,108,433,578,12.4,32,41740,32%,209261,"658,466",108,459,642,13,33.2,48415,31%,205658,"659,733",0.000877798,0.000973121,11%,0.000164018,0.000163703,0%,-3%,4%,16%
TX,Dickens,1,4,3,10,30,32669,20%,485,"2,444",1,2,3,9.9,26.6,39169,20%,485,"2,205",0.001227496,0.001360544,11%,0.000409165,0.000453515,11%,0%,-11%,20%
IN,Hendricks,10,41,101,9.1,33.6,66080,37%,53660,"145,448",9,45,120,10,31.8,73478,27%,39541,"156,059",0.000694406,0.00076894,11%,6.87531E-05,5.76705E-05,-16%,-27%,-5%,11%
IA,Dickinson,5,13,16,8.9,26.8,49295,21%,3427,"16,667",3,14,18,9.6,33.4,56869,20%,3317,"16,937",0.000959981,0.001062762,11%,0.000299994,0.000177127,-41%,-5%,25%,15%
KS,Dickinson,5,13,16,8.9,26.8,49295,21%,3427,"16,667",3,14,18,9.6,33.4,56869,20%,3317,"16,937",0.000959981,0.001062762,11%,0.000299994,0.000177127,-41%,-5%,25%,15%
MI,Dickinson,5,13,16,8.9,26.8,49295,21%,3427,"16,667",3,14,18,9.6,33.4,56869,20%,3317,"16,937",0.000959981,0.001062762,11%,0.000299994,0.000177127,-41%,-5%,25%,15%
SC,Lexington,43,134,188,9.7,31.3,51523,23%,60873,"262,391",42,169,220,9.9,33.4,55413,24%,63722,"277,439",0.000716488,0.000792967,11%,0.000163878,0.000151385,-8%,4%,7%,8%
VA,Lexington,43,134,188,9.7,31.3,51523,23%,60873,"262,391",42,169,220,9.9,33.4,55413,24%,63722,"277,439",0.000716488,0.000792967,11%,0.000163878,0.000151385,-8%,4%,7%,8%
UT,Juab,1,7,8,7.3,29.2,51917,43%,4406,"10,246",2,6,9,10.2,28,55201,43%,4406,"10,421",0.000780793,0.000863641,11%,9.75991E-05,0.00019192,97%,0%,-4%,6%
OK,Tulsa,76,198,504,9.6,29,44231,26%,154010,"603,403",83,210,582,10.6,29.6,51366,24%,145919,"629,978",0.000835263,0.000923842,11%,0.000125952,0.000131751,5%,-8%,2%,16%
TX,Bastrop,11,37,31,10.2,31.2,49812,42%,30895,"74,171",11,48,36,9.7,33.1,56866,29%,21417,"77,899",0.000417953,0.000462137,11%,0.000148306,0.000141208,-5%,-31%,6%,14%
GA,Cobb,100,257,515,8.8,23.6,59471,40%,278234,"688,078",107,239,603,8.5,22.9,70097,39%,268612,"729,146",0.000748462,0.000826995,10%,0.000145332,0.000146747,1%,-3%,-3%,18%
ID,Canyon,20,50,92,8.4,29.4,42419,21%,39744,"188,923",22,55,109,9.5,33.4,44585,19%,36485,"202,710",0.000486971,0.000537714,10%,0.000105863,0.000108529,3%,-10%,14%,5%
NJ,Monmouth,159,166,482,8.4,21.9,80462,34%,217042,"630,380",162,193,530,8.9,23.2,86722,32%,203679,"627,771",0.000764618,0.000844257,10%,0.000252229,0.000258056,2%,-6%,6%,8%
MN,Winona,9,20,31,7.6,30.6,42113,15%,7809,"51,461",4,18,34,8.1,28.9,54367,14%,7299,"51,125",0.000602398,0.000665037,10%,0.00017489,7.82396E-05,-55%,-7%,-6%,29%
GA,Butts,3,18,11,12.1,31,43777,4%,962,"23,655",3,24,12,11.7,28.7,44166,5%,1120,"23,377",0.000465018,0.000513325,10%,0.000126823,0.000128331,1%,25%,-7%,1%
NC,Buncombe,49,128,190,9,23.8,42846,25%,59094,"238,318",56,113,220,9.5,23.5,45094,22%,51501,"249,997",0.000797254,0.000880011,10%,0.000205608,0.000224003,9%,-12%,-1%,5%
IN,LaGrange,6,13,7,9.3,29.7,44151,1%,522,"37,128",8,11,8,11.2,34.2,56662,0%,59,"38,450",0.000188537,0.000208062,10%,0.000161603,0.000208062,29%,-100%,15%,28%
GA,Towns,2,11,6,13.2,26.5,38207,0%,1,"10,471",3,10,7,12.9,27.4,39782,0%,1,"11,075",0.000573011,0.000632054,10%,0.000191004,0.00027088,42%,0%,3%,4%
AR,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
CO,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
IL,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
KS,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
KY,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
NE,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
ND,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
OH,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
OK,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
WV,Logan,3,14,12,11.8,28.8,36015,14%,3074,"22,353",2,19,13,13.8,37.5,37924,9%,2070,"21,959",0.000536841,0.000592012,10%,0.00013421,9.10788E-05,-32%,-36%,30%,5%
TX,Brazoria,30,151,164,9.8,27.3,64242,26%,82488,"313,166",29,152,195,9.1,31.2,71230,22%,69647,"337,777",0.000523684,0.000577304,10%,9.57958E-05,8.58555E-05,-10%,-15%,14%,11%
GA,Muscogee,33,98,167,12.7,35.1,36359,33%,62464,"189,885",39,108,195,13.4,28.8,41828,29%,54151,"201,245",0.00087948,0.000968968,10%,0.000173789,0.000193794,12%,-12%,-18%,15%
GA,Glynn,19,56,79,10.6,27.1,42993,27%,21864,"79,626",20,54,90,11.5,26.2,46377,26%,21076,"82,353",0.000992138,0.001092856,10%,0.000238616,0.000242857,2%,-4%,-3%,8%
IN,Porter,14,50,99,9.7,29.9,56648,39%,63748,"164,343",12,60,111,9.4,31.9,66070,32%,52407,"167,336",0.000602399,0.000663336,10%,8.51877E-05,7.1712E-05,-16%,-18%,7%,17%
GA,Jenkins,1,6,5,12.8,32.6,27682,12%,1034,"8,340",1,6,6,12.1,29.9,29924,4%,341,"9,091",0.00059952,0.000659993,10%,0.000119904,0.000109999,-8%,-67%,-8%,8%
NH,Coos,13,32,22,10,30.6,37708,15%,4906,"33,055",10,28,24,12.3,30.5,40286,14%,4769,"32,778",0.000665557,0.000732198,10%,0.000393284,0.000305083,-22%,-7%,0%,7%
OR,Coos,13,32,22,10,30.6,37708,15%,4906,"33,055",10,28,24,12.3,30.5,40286,14%,4769,"32,778",0.000665557,0.000732198,10%,0.000393284,0.000305083,-22%,-7%,0%,7%
WI,Sauk,16,39,48,9.1,29.9,47531,5%,3246,"61,976",13,38,54,10.7,32.5,52025,6%,3554,"63,387",0.000774493,0.00085191,10%,0.000258164,0.000205089,-21%,20%,9%,9%
NM,Eddy,6,30,32,10.9,30.8,43240,36%,19598,"53,829",6,36,37,9.7,31.2,60407,36%,19559,"56,591",0.000594475,0.000653814,10%,0.000111464,0.000106024,-5%,0%,1%,40%
ND,Eddy,6,30,32,10.9,30.8,43240,36%,19598,"53,829",6,36,37,9.7,31.2,60407,36%,19559,"56,591",0.000594475,0.000653814,10%,0.000111464,0.000106024,-5%,0%,1%,40%
FL,Alachua,42,136,170,7.7,25.1,40656,20%,49066,"247,336",37,130,193,8.3,25.6,47023,15%,37664,"255,786",0.000687324,0.000754537,10%,0.000169809,0.000144652,-15%,-25%,2%,16%
LA,Orleans,137,125,247,12,29.9,36525,25%,87617,"343,829",148,134,303,11.9,31.9,38640,17%,57760,"384,355",0.00071838,0.000788334,10%,0.000398454,0.000385061,-3%,-32%,7%,6%
NY,Orleans,137,125,247,12,29.9,36525,25%,87617,"343,829",148,134,303,11.9,31.9,38640,17%,57760,"384,355",0.00071838,0.000788334,10%,0.000398454,0.000385061,-3%,-32%,7%,6%
VT,Orleans,137,125,247,12,29.9,36525,25%,87617,"343,829",148,134,303,11.9,31.9,38640,17%,57760,"384,355",0.00071838,0.000788334,10%,0.000398454,0.000385061,-3%,-32%,7%,6%
NY,Schenectady,31,69,111,9.9,28,52062,36%,55632,"154,727",46,76,122,9.9,26.1,59432,23%,36038,"155,006",0.000717393,0.000787066,10%,0.000200353,0.000296763,48%,-36%,-7%,14%
